country,population,gdppc,co2_emission
United Arab Emirates,9.2629,65.2187922731195,21.0263924904727
Afghanistan,34.413603,2.21275089885175,0.262555710891417
Antigua and Barbuda,0.093566,18.5950849042657,5.83954641643332
Albania,2.880703,12.1259314807437,1.60264803417777
Armenia,2.925553,11.3213557593842,1.64200409290141
Angola,27.884381,8.03641409222015,1.24024546214599
Argentina,43.131966,23.9340962820711,4.6640107478523
Austria,8.642699,53.1648014030839,7.08859223258845
Australia,23.815995,48.020254137754705,15.3397835782213
Aruba,0.104341,37.2760804173621,8.61037367861148
Azerbaijan,9.649341,14.853910552572898,3.89640608617728
Bosnia and Herzegovina,3.429361,12.7935416111631,5.41491199089276
Barbados,0.285324,15.3829274290296,4.39540312066283
Bangladesh,156.256276,3.70011028454462,0.518850858828864
Belgium,11.274196,49.4916208733935,8.81183580629608
Burkina Faso,18.110624,1.93475449608592,0.183849877287497
Bulgaria,7.177991,19.5988597903392,6.23257956160714
Bahrain,1.371851,48.3040669238186,23.977086432856
Burundi,10.16003,0.825205985575849,0.0397016544242488
Benin,10.575952,2.94597300620254,0.57349144549824
Brunei Darussalam,0.414907,63.1485490356698,17.0487434533522
Bolivia,10.86973,7.98441331117096,1.84670253998949
Brazil,204.471769,15.0592343677166,2.46678804837845
"Bahamas, The",0.374206,35.8373462624269,5.38967841242524
Bhutan,0.727876,10.0861975071692,1.46604229291802
Botswana,2.120716,16.7143537396502,2.56084595957214
Belarus,9.489616,18.307519667840598,6.14141088532982
Belize,0.360933,7.25928758504138,1.60524529483311
Canada,35.702908,47.7704156124365,15.3889503062328
"Congo, Dem. Rep.",76.244544,1.06524240955909,0.0372257193904917
Central African Republic,4.49317,0.852749426426479,0.0652902071366096
"Congo, Rep.",4.856095,3.80237599469408,0.665272611017701
Switzerland,8.282396,66.16177647600449,4.30703579012643
Cote d'Ivoire,23.226143,4.41715120275926,0.471910596606591
Chile,17.969353,23.6336638371824,4.63258565848197
